@relation 'readsb-hist_filtered_by_Taiwan_manual_edges-weka.filters.unsupervised.attribute.Remove-R1-11,14,16-18,20-29_clustered'

@attribute Instance_number numeric
@attribute gs numeric
@attribute track numeric
@attribute squawk numeric
@attribute nav_heading numeric
@attribute ecef_x numeric
@attribute ecef_y numeric
@attribute ecef_z numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
249,359.6,17.48,3127,9.14,-2945090.880105,5044551.079131,2561515.739234,cluster10
250,413.9,228.92,7161,241.17,-3020090.056079,4924532.971068,2715286.736322,cluster12
251,358.3,17.37,3127,9.14,-2945121.298855,5044156.324776,2562163.196866,cluster10
252,414,229.11,7161,241.17,-3019529.76837,4925247.766197,2714613.307619,cluster12
253,358.3,17.37,3127,9.14,-2945177.283159,5043614.769675,2563088.908033,cluster10
254,413.5,229.41,7161,241.17,-3019018.205748,4925893.848048,2714009.922889,cluster12
255,358.3,17.37,3127,9.14,-2945208.03031,5043225.345492,2563743.919101,cluster10
256,412.9,229.71,7161,241.17,-3018496.328172,4926552.386006,2713395.01274,cluster12
257,358.1,17.22,3127,9.14,-2945251.771588,5042734.73592,2564563.799037,cluster10
258,413.1,229.91,7161,241.17,-3017957.045761,4927226.100886,2712771.49998,cluster12
259,358.1,17.22,3127,9.14,-2945295.409294,5042230.286443,2565429.588628,cluster10
260,413.1,229.91,7161,241.17,-3017408.748765,4927908.619671,2712141.60203,cluster12
261,358.1,17.22,3127,9.14,-2945341.142464,5041753.547846,2566238.140237,cluster10
262,413.1,229.91,7161,241.17,-3016880.779294,4928567.712824,2711531.237889,cluster12
263,357.1,17.27,3127,9.14,-2945379.057328,5041298.044129,2567013.616494,cluster10
264,412.4,230.02,7161,241.17,-3016352.651974,4929226.69895,2710920.843495,cluster12
265,356.8,17.11,3127,9.14,-2945414.735013,5040885.031292,2567707.928,cluster10
266,412.4,230.02,7161,241.17,-3015801.410835,4929918.022832,2710294.893257,cluster12
267,356.8,17.11,3127,9.14,-2945455.231793,5040389.240317,2568558.904132,cluster10
268,412.4,230.02,7161,241.17,-3015238.827289,4930617.067549,2709649.131798,cluster12
269,356.8,17.11,3127,9.14,-2945493.850424,5039943.419274,2569313.637303,cluster10
270,413.1,229.91,7161,241.17,-3014712.175582,4931273.135161,2709041.165189,cluster12
271,355.8,17.16,3127,9.14,-2945537.865904,5039423.111274,2570189.029315,cluster10
272,413.1,229.91,7161,241.17,-3014136.871172,4931985.936019,2708383.635787,cluster12
273,354.9,17.21,3127,9.14,-2945580.434674,5038929.280975,2571032.685035,cluster10
274,413.1,229.91,7161,241.17,-3013639.247376,4932604.297407,2707811.219736,cluster12
